01_prenom;02_genre;03_langage;04_fréquence
adhara;f;astronomy;0
adhiambo;f;african;0
adi;f;jewish;0
adil;m;arabic;0
adina;f,m;biblical;0
adino;m;biblical;0
adisa;m;african;0
aditya;m;indian;0
adjoa;f;african;0
adlai;m;biblical;0
adolf;m;german;2.42
adolfo;m;italian, spanish;0
adolph;m;english;0.06
adolphe;m;french;1.72
adolphus;m;history;0
adonai;m;theology;0
adonia;f;;0
adonijah;m;biblical;0
adonis;m;greek mythology;0.67
adora;f;spanish;0.03
adorinda;f;esperanto;0
adorján;m;hungarian;0
adrasteia;f;greek mythology;0
adrastos;m;greek mythology;0
adria;f;english;0
adriaan;m;dutch;0
adrián;m;spanish;0
adrian;m;english, romanian, russian;0.45
adriana;f;italian, spanish, portuguese, romanian, english;0.06
adrianna;f;english;0
adrianne;f;english;0
adriano;m;italian;0.03
adrien;m;french;6.31
adrienn;f;hungarian;0
adrienne;f;french;2.01
adwoa;f;african;0
aegle;f;greek mythology (latinized);0
ælfwine;m;anglo-saxon;0
aella;f;greek mythology;0
ælred;m;anglo-saxon;0
aemilia;f;ancient roman;0
aeneas;m;roman mythology;0.13
aengus;m;irish;0
aeolus;m;greek mythology (latinized);0
aeron (1);m,f;welsh;0
aeron (2);f,m;welsh mythology;0
aeronwen;f;welsh;0
aeronwy;f;welsh;0
æsc;m;anglo-saxon;0
aeschylus;m;ancient greek (latinized);0
aeson;m;greek mythology (latinized);0
aesop;m;ancient greek (anglicized);0
æðelbert;m;anglo-saxon;0
æðelfrid;m;anglo-saxon;0
æðelmær;m;anglo-saxon;0
æðelred;m;anglo-saxon;0
æðelstan;m;anglo-saxon;0
æðelþryð;f;anglo-saxon;0
afanasi;m;russian;0
afanasy;m;russian;0
afanen;f;welsh;0
afia;f;african;0
afolabi;m;african;0
afon;f,m;welsh;0
afonso;m;portuguese;0
afra;f;;0
africa;f;english;0.13
afua;f;african;0
agafya;f;russian;0
agamemnon;m;greek mythology;0.86
agape;f;greek, ancient greek;0.06
agapios;m;greek, ancient greek;0
agata;f;italian, spanish, polish, czech, slovene, russian;0.03
agatha;f;english;0.19
agathangelos;f;ancient greek;0
agathe;f;french, german, greek, ancient greek;20.01
agathon;m;ancient greek;0.06
agaue;f;greek mythology;0
aggie;f;english;0
aghavni;f;armenian;0
ági;f;hungarian;0
aglaia;f;greek mythology, greek;0
aglaya;f;russian;0
aglea;f;;0
ágnes;f;hungarian;0
agnès;f;french;3.95
agnes;f;english, german, dutch, scandinavian;0.03
agnese;f;italian, latvian;0.32
agnessa;f;russian;0
agneta;f;swedish;0
agnethe;f;german;0
agnieszka;f;polish;0
agostina;f;italian;0
agostinho;m;portuguese;0.16
agostino;m;italian;0.45
ágoston;m;hungarian;0
ágota;f;hungarian;0
agrafena;f;russian;0
agrippa;m;ancient roman, biblical;1.85
agrippina;f;ancient roman;0
agrona;f;celtic mythology;0
águeda;f;spanish;0
agustín;m;spanish;0
ah;m,f;chinese;180.28
ahab;m;biblical;0
aharon;m;jewish;0
ahmad;m;arabic;0.03
ahmed;m;arabic;2.71
ahmet;m;turkish;0
ahriman;m;near eastern mythology;0
ahtahkakoop;m;native american;0
ahura mazda;m;near eastern mythology;0
ahuva;f;jewish;0
ai (1);f;japanese;0
ai (2);f;chinese;0
aias;m;greek mythology;0
aida;f;english;3.95
aidan;m,f;irish, scottish;0
aiden;m;;0
aignéis;f;irish;0
aikaterine;f;greek;0
ailbhe;m,f;irish;0
aileas;f;scottish;0
aileen;f;scottish, english;0
ailill;m;irish, irish mythology;0
ailín;m;irish;0
ailís;f;irish;0
ailpein;m;scottish;0
ailsa;f;scottish;0
aimé;m;french;50.02
aimée;f;french;14.85
aimo;m;finnish;0
aina;f;spanish;0
aindrea;m;scottish;0
aindréas;m;irish;0
aindriú;m;irish;0
áine;f;irish;0
aingeal;f;irish;0
aino;f;finnish;0
ainsley;m,f;english, scottish;0
ainslie;m,f;english, scottish;0
aintzane;f;basque;0
aiolos;m;greek mythology;0
'aisha;f;arabic;0
aislin;f;irish, english;0
aisling;f;irish;0
aislinn;f;irish;0
aithne;f;irish;0
aitor;m;basque;0
ajax;m;greek mythology (latinized);0.38
ajeet;m;indian;0
ajit;m;indian;0
ajith;m;indian;0
akakios;m;greek, ancient greek;0
akamu;m;hawaiian;0
akanksha;f;indian;0
akeem;m;arabic;0
akemi;f;japanese;0
akhil;m;indian;0
aki;m,f;japanese;0.10
akiko;f;japanese;0
akilah;f;arabic;0
akilina;f;russian;0
akim;m;russian;0.06
akinyi;f;african;0
akio;m;japanese;0
akira;m;japanese;0
akiva;m;jewish;0
akoni;m;hawaiian;0
akosua;f;african;0
aksel;m;danish, norwegian;0
aksinya;f;russian;0
aku;m;finnish;0
akua;f;african;0
akulina;f;russian;0
al;m;english;6.88
alaba;f;african;0
alain;m;french;20.36
alaina;f;english;0
alan;m;english, scottish;0.32
alana;f;english;0
alanis;f;english;0
alanna;f;english;0
alannah;f;english;0
alannis;f;english;0
alaois;m;irish;0
alaric;m;history;0.41
alasdair;m;scottish;0
alastair;m;scottish;0
alastar;m;irish;0
alastríona;f;irish;0
alayna;f;english;0
alba;f;italian, spanish;0.25
alban;m;english, german;0.70
alberic;m;english;0
albert;m;english, french;27.88
alberta;f;english, italian;0.22
albertina;f;italian, german, portuguese, english;0.06
albertine;f;french;4.08
alberto;m;italian, spanish, portuguese;1.34
albina;f;italian;0
albrecht;m;german;0.16
alby;m;irish;14.97
alcaeus;m;ancient greek (latinized);0
alcippe;f;greek mythology (latinized);0
alcyone;f;greek mythology (latinized);0
alden;m;english;0.03
aldo;m;italian;4.59
aldous;m;english;0.22
aldrick;m;;0
alea;f;english (modern);1.31
alease;f;english;0
alec;m;english;0.03
alechjo;m;esperanto;0
aled;m;welsh;0
aleesha;f;english (modern);0
aleit;f;german;0
alejandra;f;spanish;0
alejandro;m;spanish;0
alejo;m;spanish;0
aleksandar;m;bulgarian, macedonian, croatian, serbian;0
aleksander;m;polish, slovene, albanian;0
aleksandr;m;russian;0
aleksandra;f;russian, polish, serbian, bulgarian, slovene;0
aleksandrina;f;serbian, croatian, russian;0
aleksandro;m;esperanto;0
aleksanteri;m;finnish;0
aleksei;m;russian;0
aleksi;m;finnish;0
alene;f;english;0
alenka;f;slovene;0
ales;m;czech;0
alesha;f;english (modern);0
alessa;f;italian;0
alessandra;f;italian;0
alessandro;m;italian;1.21
alessia;f;italian;0
alessio;m;italian;0
aleta;f;english;0
aletha;f;english;0
alethea;f;english;0
alex;m,f;english;3.03
alexa;f;english;0
alexander;m;english, german, dutch;2.10
alexandr;m;czech;0
alexandra;f;german, scandinavian, dutch, english, greek, portuguese, romanian, czech, hungarian, ancient greek;2.26
alexandre;m;french, portuguese, hungarian;18.00
alexandrea;f;english;0
alexandria;f;english;0
alexandrie;f;french;5.54
alexandrina;f;english;0
alexandros;m;greek, ancient greek;0.10
alexandru;m;romanian;0
alexei;m;russian;0
alexej;m;czech;0
alexia;f;english, german;0
alexina;f;english;0
alexis (1);m;german, french, english, ancient greek;0
alexis (2);f;english;0
alexius;m;ancient greek (latinized);0
alexus;f;english;0
alf;m;english;0.03
alfeo;m;italian;0
alfhild;f;norwegian, swedish;0
alfons;m;german;0.03
alfonsina;f;italian;0
alfonso;m;spanish, italian;0.25
alfréd;m;hungarian;0
alfred;m;english, french;5.48
alfreda;f;english, polish, german, italian;0
alfredo;m;italian, spanish, portuguese;0.41
alfsigr;f;ancient scandinavian;0
algar;m;english;0
alger;m;english;22.65
algernon;m;english;0.03
ali;m;arabic;8.44
alia;f;arabic;0.10
aliah;f;;0
alice;f;english, french;10.07
alicia;f;spanish, english;0.35
alida;f;hungarian;0.48
aliisa;f;finnish;0
alin;m;romanian;0.06
alina (1);f;arabic;0
alina (2);f;german, polish;0
aline;f;french, english;0.61
alis;f;welsh;0.10
alisa;f;english;0.10
alisha;f;english;0
alisia;f;english;0
alison;f,m;english, french;0.03
alissa;f;english;0.48
alistair;m;scottish;0.03
alister;m;scottish;0
alisya;f;english (modern);0
alix;m,f;english;5.80
aliyah;f;jewish;0
aliz;f;hungarian;0
aliza;f;jewish;0
allan;m;english, scottish;0.35
allannah;f;english;0
allegra;f;english, italian;0
allegria;f;english;0.03
allen;m;english, scottish;0.83
allie;f;english;1.05
allison;f;english;0.19
allon;m;biblical;0.03
ally;f;english;0
allycia;f;english (modern);0
allyn;m;english;0
allyson;f;english;0
alma;f;english;0.96
almas;f;arabic, iranian;0
almira;f;english;0
almudena;f;spanish;0
alodia;f;;0
alois;m;german, czech;0
aloisia;f;german;0
aloisio;m;portuguese;0
alojz;m;slovene;0
alon;m;jewish;0
alondra;f;spanish;0
alonso;m;spanish;6.08
alonzo;m;italian;0.10
aloysius;m;english, german, dutch;2.17
alp;m;turkish;0
alpertti;m;finnish;0
alpha;m,f;english;1.85
alphaeus;m;biblical;0
alphonse;m;french;8.16
alphonsine;f;french;0.10
alphonso;m;italian;0
alphonsus;m;;0
alphonzo;m;english;0
alpin;m;scottish;1.12
alta;f;;0.16
altan;m;turkish;1.56
alte;f;jewish;0
alter;m;jewish;0.54
althea;f;greek mythology (latinized);0.03
alton;m;english;0.03
aludra;f;astronomy;0
alun;m;welsh;0.86
alva;m;;0.06
alvah;m;biblical;0
alvar;m;english;0.03
álvaro;m;spanish, portuguese;0
alvena;f;english;0
alvilda;f;danish;0
alvin;m;english;0.10
alvina;f;english;0
alvis;m;norse mythology;0
alwilda;f;english;0
alwyn;m;english;0
alya;f;arabic;0
alyce;f;english (modern);0
alyona;f;russian;0
alys;f;english (modern);0
alysha;f;english (modern);0
alyson;f;english;0
alyssa;f;english;0
alyssia;f;english;0
alyusha;m;russian;0
alyx;f;english;0
alzbeta;f;czech, slovak;0
ama;f;african;0.13
amabel;f;english;0
amada;f;spanish;0.03
amadeo;m;italian;0.35
amadeus;m;late roman;0.10
amadi (1);f;african;0
amadi (2);m;african;0
amal (1);f,m;arabic;0
amal (2);m;biblical;0
amala;f;indian;0
amália;f;hungarian;0
amalia;f;german, english;0.03
amalric;m;ancient germanic;0
amalthea;f;greek mythology;0
amanda;f;english;0.25
amandine;f;english;0.48
amando;m;spanish;0
amani;f;arabic;0
amar;m;indian;1.56
amara;f;;0.03
amaranta;f;english;0
amarante;f;french, ancient greek;0.76
amardad;m;;0
amariah;m;biblical;0
amaryllis;f;english;0.96
amaterasu;f;far eastern mythology;0.06
amato;m;italian;0
amaury;m;french;6.75
amaya;f;japanese;0
amber;f;english;0.13
ambra;f;italian;0
ambre;f;french;3.76
ambrogino;m;italian;0
ambrogio;m;italian;0.03
ambroise;m;french;1.59
ambrose;m;english;0.10
ambrosia;f;ancient greek;0
ambrosine;f;english;0
ambrosio;m;spanish, portuguese;0
ambrus;m;hungarian;0
amedea;f;italian;0
amédée;m;french;1.72
amedeo;m;italian;0.10
amedeus;m;english;0
amélia;f;portuguese;0.06
amelia;f;english;0
amélie;f;french;1.59
amen;m;egyptian mythology;1.88
amenhotep;m;ancient egyptian;0
america;f;english;0.54
americo;m;spanish, portuguese;0
amerigo;m;italian;0.13
amethyst;f;english;0
amhlaidh;m;scottish;0
amhlaoibh;m;irish;0
ami;f;english (modern);93.44
amias;m;english;0
amice;f;english;0.06
amie;f;english;33.13
amika;f;esperanto;0
amilcar;m;portuguese, spanish;0.10
amilia;f;english;0
amin;m;arabic;0.10
amina;f;arabic;0
aminda;f;esperanto;0
aminta;f;;0.03
amir (1);m;arabic;0
amir (2);m;jewish;0
amira;f;arabic;0
amita;f;indian;0
amittai;m;biblical;0
amity;f;english;0
ammiel;m;biblical;0
ammon;m;egyptian mythology (hellenized);0.19
amon;m;egyptian mythology;0.03
amos;m;biblical, english, jewish;0.10
amparo;f;spanish;0
amrit;m,f;indian;0
amrita;f;indian;0
amy;f;english;0.06
amyas;m;english;0
amynta;f;;0
an;m,f;chinese;82.32
ana;f;spanish, portuguese, slovene, bulgarian, romanian, croatian, serbian;4.62
anacleto;m;italian, spanish, portuguese;0
anacletus;m;ancient greek (latinized);0
anahid;f;armenian;0
anahita;f;near eastern mythology;0
anaïs;f;provençal, catalan, french;0.03
anaitis;f;near eastern mythology (hellenized);0
anakin;m;literature;0
anakoni;m;hawaiian;0
anan (1);m,f;african;0
anan (2);m;biblical;0
anand;m;indian;0
ananda;f;indian;0.03
anani;m;biblical;0
ananias;m;biblical;0
ananta;m;indian;0
ananth;m;indian;0
anantha;m;indian;0
anargyros;m;greek;0.16
anaru;m;maori;0
anas;m;arabic;0.06
anass;m;arabic;0
anastacia;f;english;0
anastas;m;spanish;0
anastasia;f;russian, greek, ancient greek;0.76
anastasie;f;french;0.22
anastasio;m;italian;0
anastasios;m;greek, ancient greek;0
anastasius;m;ancient greek (latinized);0
anasztáz;m;hungarian;0
anasztázia;f;hungarian;0
anat;f;near eastern mythology;0.03
anath (1);m;biblical;0
anath (2);f;near eastern mythology;0
anatole;m;french;5.22
anatoli;m;russian;0
anatolius;m;ancient greek (latinized);0
anatoly;m;russian;0
anatu;f;near eastern mythology;0
anaxagoras;m;ancient greek;0
anca;f;romanian;0
anchjo;m;esperanto;0
andela;f;czech;0
ander;m;basque;0
anders;m;scandinavian;0.29
anderson;m;english;1.72
andor;m;norwegian;0
andra;f;english;0
andrás;m;hungarian;0
andras;m;welsh;0
andraste;f;celtic mythology;0
andré;m;french, portuguese;31.54
andrea (1);m;italian;0
andrea (2);f;english, german, czech, slovak, hungarian, scandinavian;0
andreas;m;german, greek, scandinavian, ancient greek;0.25
andrée;f;french;0.80
andreea;f;romanian;0
andrei;m;russian, bulgarian, romanian;0.16
andreia;f;portuguese;0
andrej;m;slovene, czech, croatian;0
andreja;f;slovene;0
andrés;m;spanish;0.03
andreu;m;catalan;0.03
andrew;m;english, biblical;0.57
andriana;f;english;0
andries;m;dutch;0
andrija;m;croatian, serbian;0
andrina;f;english;0
andris;m;hungarian;0
andriy;m;ukrainian;0
andro;m;croatian;0.03
androcles;m;ancient greek (latinized);0
andromache;f;greek mythology;0
andromeda;f;greek mythology;0
andronikos;m;ancient greek;0
andrzej;m;polish;0.03
andy;m;english;0.10
ane;f;danish;0.19
aneirin;m;welsh;0
anelie;f;german;0
anemone;f;english;0
aneurin;m;welsh;0
anfisa;f;russian;0
angel;m,f;english;6.63
ángela;f;spanish;0
angela;f;english, italian, german, romanian, slovene;0.32
angèle;f;french;0.80
angelia;f;english;0
angelica;f;english, italian, romanian;0.38
angelika;f;german;0
angelina;f;english, italian;0.06
angeline;f;french;0.03
angelique;f;french;0.03
angelita;f;spanish;0
angelle;f;english;0
angelo;m;italian;3.57
angelos;m;greek;0.10
angerona;f;roman mythology;0
angharad;f;welsh;0
angie;f;english;0.06
angus;m;scottish, irish, english;1.05
angyalka;f;hungarian;0
ania;f;russian, polish;0.03
anibal;m;spanish, portuguese;0
anica;f;slovene;0
anicetus;m;ancient greek (latinized);0
aniela;f;polish;0.76
anika;f;;0
aniketos;m;greek, ancient greek;0
anikó;f;hungarian;0
anima (1);f;indian;0
anima (2);f;english;0
aniruddha;m;indian;0
anisa;f;arabic;0
anise;f;english;0
anisim;m;russian;0
anita;f;spanish;8.35
anja;f;scandinavian;0.10
anjali;f;indian;0.03
anjelica;f;english (modern);0
anka;f;polish;0
anke;f;german, dutch;0
ankur;m;indian;0
ann;f;english;0.38
anna;f;english, italian, german, dutch, scandinavian, greek, hungarian, polish, russian, czech, bulgarian, icelandic;14.94
annabel;f;english;0.06
annabella;f;english, italian;0.35
annabelle;f;english;0
annalisa;f;english;0
annas;m;biblical;0
anne;f;french, english, german, scandinavian;45.59
anneka;f;english;0
anneke;f;dutch;0
anneli;f;finnish;0
annelie;f;german, scandinavian;0
anneliese;f;german;0.03
annelise;f;danish;0
annemarie;f;dutch, german;0
annetta;f;english, italian;0
annette;f;french;1.37
annice;f;english;0
annick;f;breton;0.22
annie;f;english;9.17
anniina;f;finnish;0
annika;f;dutch, swedish, finnish;0
annikki;f;finnish;0
annis;f;english;0
annmarie;f;english;0
annunciata;f;italian;0
annunziata;f;italian;0.03
annuska;f;hungarian;0
anona;f;english;0
anouk;f;dutch;0.06
anoush;f;armenian;0
anouska;f;russian;0
anraí;m;irish;0
ansel;m;;0.03
anselm;m;english;0
anselma;f;german, dutch, italian, spanish;0
anselme;m;french;1.08
anselmo;m;italian, spanish, portuguese;0
ansgar;m;german, scandinavian;0
anshel;m;jewish;0
anson;m;english;0.03
antal;m;hungarian;0.10
antanas;m;lithuanian;0.03
ante;m;croatian;1.15
antero;m;finnish;0
anthea;f;greek mythology (latinized);0
anthony;m;english;0.80
antigone;f;greek mythology;0.86
antigonus;m;ancient greek (latinized);0
antiope;f;greek mythology;0.10
antipater;m;ancient greek (anglicized);0
antje;f;german, dutch;0
anto;m;croatian;0.06
antoine;m;french;46.70
antoinette;f;french;9.37
anton;m;german, russian, scandinavian, bulgarian, slovene, romanian;5.16
antonella;f;italian;0.03
antonello;m;italian;0.03
antonette;f;english;0
antoni;m;polish, catalan;0.10
antonia;f;english, italian, spanish, portuguese, german, scandinavian, dutch, ancient roman;0.10
antonie;f;czech;0
antonietta;f;spanish, italian;0
antonija;f;croatian, slovene;0
antonina;f;polish, russian;0
antonino;m;italian;0
antonio;m;spanish, italian, portuguese;1.69
antonius;m;ancient roman, dutch;0.03
antono;m;esperanto;0
antony;m;english;0.51
antti;m;finnish;0
antun;m;croatian;0
antwan;m;english (modern);0
anubis;m;egyptian mythology (hellenized);0.10
anunciación;f;spanish;0
anupam;m;indian;0
anushka;f;russian;0
anwar;m;arabic;0.03
anwen;f;welsh;0
anwer;m;arabic;0
anya;f;russian;0
aodh;m;irish, scottish;0
aodhán;m;irish, scottish;0
aoibheann;f;irish;0
aoibhín;f;irish;0
aoide;f;greek mythology;0
aoife;f;irish, irish mythology;0
aonghas;m;scottish, irish;0
aonghus;m;scottish, irish, irish mythology;0
aphra;f;;0
aphrodisia;f;ancient greek;0
aphrodisios;m;ancient greek;0
aphrodite;f;greek mythology;0.80
apikalia;f;hawaiian;0
apolinar;m;spanish;0
apollinaire;m;french;4.14
apollinaris;m;ancient greek;0
apollinariya;f;russian;0
apolline;f;french;0.22
apollo;m;greek mythology (latinized);0.16
apollodoros;m;ancient greek;0
apollonia;f;ancient greek;0.03
apollonios;m;ancient greek;0
apolonija;f;slovene;0
apostolis;m;greek;0
apostolos;m;greek;0
apphia;f;biblical;0
appius;m;ancient roman;0.06
april;f;english;0
aquila;m;biblical, ancient roman;0.29
arabella;f;english, italian;0.06
araceli;f;spanish;0
aracelis;f;;0
aracely;f;;0
arachne;f;greek mythology;0
aragorn;m;literature;0
araminta;f;;0
aran;f;;0.03
aranka;f;hungarian;0
aranrhod;f;welsh, welsh mythology;0
arantxa;f;basque;0
aras;m;lithuanian;0.06
arata;m;japanese;0
aravinda;m;indian;0
arcadia;f;late roman;0.03
arcangelo;m;italian;0
arcelia;f;spanish;0
archelaus;m;ancient greek (latinized), biblical;0
archibald;m;scottish, english;6.72
archie;m;scottish, english;0.54
archimedes;m;ancient greek;0
archippos;m;ancient greek;0
ardal;m;irish;0
ardashir;m;iranian;0
arden;m;english;0.19
ardghal;m;irish;0
arduino;m;italian;0
areli;m;biblical;0
ares;m;greek mythology;1.56
aretha;f;english;0.03
arethusa;f;greek mythology;0
arevig;f;armenian;0
argus;m;greek mythology (latinized);0.61
argyris;m;greek;0
argyros;m;ancient greek;0
ari (1);m;jewish;0
ari (2);m;ancient scandinavian;0
aria;f;english;0.45
ariadne;f;greek mythology, english;0.06
ariana;f;english;0.06
ariane;f;english, french;2.45
arianna;f;italian;0
arianne;f;french;0
arianrhod;f;welsh, welsh mythology;0
aric;m;english;0
ariel;m,f;biblical, jewish;0.61
ariella;f;english;0
arielle;f;english;0.03
arienne;f;french;0
aries;m;roman mythology;0
arik;m;;0
arina;f;russian;0
arisha;f;russian;0
arista;f;astronomy;0
aristide;m;french;0.80
aristides;m;ancient greek;0
aristocles;m;ancient greek (latinized);0
aristodemos;m;ancient greek, greek mythology;0
aristomache;f;ancient greek;0
ariston;m;ancient greek;0.13
aristophanes;m;ancient greek;0
aristotle;m;ancient greek (latinized);0
arisu;f;japanese;0
arisztid;m;hungarian;0
arjan;m;dutch;0
arjun;m;indian;0
arjuna;m;indian;0.03
arkadi;m;russian;0.03
arkadios;m;ancient greek;0
arkady;m;russian;0
arkell;m;english;0
arleen;f;english;0
arlen;m;;0.03
arlene;f;english;0
arlette;f;french, english;0.80
arlie;f,m;english;0
arline;f;english;0
armand;m;french;30.71
armando;m;spanish, italian, portuguese;0
armel;m;french;0.03
armelle;f;french;0
armin;m;german;0.06
armo;m;finnish;0
arn;m;english;4.78
arnaldo;m;italian;0
arnau;m;catalan;0
arnaud;m;french;9.24
arnaude;f;french;0.67
arndt;m;german;0.03
arne (1);m;scandinavian;0
arne (2);m;german;0
arnie;m;english;0
arnold;m;english, german;1.24
aroha;f;maori;0
aroldo;m;italian;0
áron;m;hungarian;0
aron;m;polish;0.96
árpád;m;hungarian;0
arrigo;m;italian;0.10
arron;m;english;0
arsen;m;armenian;0.03
arseni;m;russian;0
arsenios;m;ancient greek;0.03
art;m;english;176.78
artair;m;scottish;0
artemidoros;m;ancient greek;0
artemis;f;greek mythology;0
artemisia;f;ancient greek;0.13
artemisios;m;ancient greek;0
arthur;m;english, welsh mythology;17.78
arttu;m;finnish;0
artturi;m;finnish;0
artúr;m;hungarian;0
artur;m;german, portuguese;0.10
arturo;m;italian, spanish;0.06
arundhati;f;indian, hindu mythology;0
arvel;m;welsh;0
arvid;m;scandinavian;0
arvo;m;finnish;0
arwen;f;literature;0
aryana;f;;0
arzu;f;turkish;0
åsa;f;scandinavian;0
asa;m;biblical, jewish;0.13
as'ad;m;arabic;0
asad;m;arabic;0
asaf;m;biblical (variant);0
asaph;m;biblical;0.03
asbjörn;m;norwegian;0
ásdís;f;icelandic, ancient scandinavian;0
asdrubal;m;spanish;0.03
aseem;m;indian;0
asenath;f;biblical;0
ash;m,f;english;0.13
asha;f;indian;0
ashanti;f;;0.13
asher;m;biblical, jewish;0.03
asherah;f;near eastern mythology;0
ashlee;f;english (modern);0
ashleigh;f;english (modern);0
ashley;m,f;english;0.06
ashlie;f;english (modern);0
ashling;f;irish;0
ashlyn;f;english;0
ashlynn;f;english (modern);0
ashok;m;indian;0
ashoka;m;indian;0
ashtad;m;;0
ashton;m,f;english;0.06
ashtoreth;f;biblical, near eastern mythology;0
asia;f,m;english;0
asim;m;arabic;0
asklepiades;m;ancient greek;0
asklepios;m;greek mythology;0
aslaug;f;norwegian, danish;0
asli;f;turkish;0
aslög;f;swedish;0
asløg;f;danish;0
asma;f;arabic;0
aspasia;f;greek mythology;0
aspen;f;english;0
assumpció;f;catalan;0
assumpta;f;irish;0
assunta;f;italian;0
asta;f;scandinavian;0.45
astaroth;f;near eastern mythology;0.10
astarte;f;near eastern mythology (hellenized);0
astor;m;english;0.92
astra;f;english;0.25
astraea;f;greek mythology (latinized);0
astrid;f;scandinavian;0.19
astrithr;f;ancient scandinavian;0
astrophel;m;literature;0
asunción;f;spanish;0
asya;f;russian;0
ata;m;turkish;0
atalanta;f;greek mythology;6.05
atallah;m;arabic;0.76
atara;f;jewish;0
atarah;f;biblical;0
ataullah;m;arabic;0
atefeh;f;iranian;0
athanas;m;ancient greek;0
athanasia;f;greek, ancient greek (latinized);0
athanasios;m;greek, ancient greek;0
athanasius;m;ancient greek (latinized);0
athelstan;m;;0.03
athena;f;greek mythology;0
athenias;f;ancient greek;0
atieno;f;african;0
atílio;m;portuguese;0
atilio;m;spanish;0
atiya;f;arabic;0
atlas;m;greek mythology;4.21
atticus;m;;0.38
attila;m;history, hungarian;1.40
attilio;m;italian;0.03
auberon;m;english;0
aubree;f;english;0
aubrey;m,f;english;0.06
aude;f;french;6.31
audie;f;english;0
audley;m;english;0
audra (1);f;lithuanian;0
audra (2);f;english;0
audrea;f;english;0
audrey;f;english;0.16
august (1);m;german, polish;0
august (2);m;english;0
augusta;f;english, italian, polish;0.22
auguste;m;french;20.36
augustijn;m;dutch;0
augustin;m;french;5.86
augustine;m;english;2.52
augusto;m;spanish, italian, portuguese;2.55
augusts;m;latvian;0
augustus;m;ancient roman;5.99
aukusti;m;finnish;0
aulay;m;scottish;0
aulus;m;ancient roman;0.03
aune;f;finnish;0.64
aura;f;english;110.10
aurangzeb;m;indian;0
aurel;m;german, romanian;0.10
aurèle;m;french;0.80
aurelia;f;ancient roman, italian, romanian;0
aureliano;m;spanish;3.35
aurélie;f;french;4.91
aurelien;m;french;0
aurelio;m;italian, spanish, portuguese;0.16
aurelius;m;ancient roman;0
aureole;f;english;0
aurora;f;roman mythology;0.29
aurore;f;french;11.02
ausra;f;lithuanian;0
austen;m;english;0.13
austin;m;english;0.32
austyn;m,f;english (modern);0
autumn;m,f;english;0.03
ava (1);f;english;0
ava (2);f;iranian;0
avalon;f;english;0.03
avdotya;f;russian;0
avedis;m;armenian;0
avelina;f;english;0
aveline;f;english;0.13
averill;m,f;english;0
avery;m,f;english;0.25
avi;m;jewish;0
avia;f;;0
avice;f;english;0.03
avidan;m;jewish;0
avila;f;english;0.73
aviram;m;jewish;0
